"","School","Year","Total Applicants","Tuition and Fees","Avg Faculty Salary"
"560","University of Louisiana at Monroe",2018,4253,8650,65336
"561","University of Louisiana at Lafayette",2018,9468,9888,75215
"562","Tulane University of Louisiana",2018,38816,52960,106469
"563","University of Maryland-College Park",2018,33497,10399,116442
"564","United States Naval Academy",2018,16086,NA,102435
"565","Boston College",2018,31084,53346,137903
"566","University of Massachusetts-Amherst",2018,41690,15411,110595
"567","Central Michigan University",2018,17858,12510,84165
"568","Eastern Michigan University",2018,14577,12019,87697
"569","University of Michigan-Ann Arbor",2018,64917,14826,108824
"570","Michigan State University",2018,33129,14460,107056
"571","Western Michigan University",2018,17051,11943,90529
"572","University of Minnesota-Duluth",2018,9207,13344,75929
"573","University of Mississippi",2018,15371,8300,82364
"574","Mississippi State University",2018,17381,8318,78124
"575","University of Southern Mississippi",2018,8550,8218,69042
"576","University of Missouri-Columbia",2018,18948,9787,88134
"577","University of Nebraska-Lincoln",2018,14956,8978,98921
"578","University of Nevada-Las Vegas",2018,11612,7665,96653
"579","University of Nevada-Reno",2018,9531,7599,92055
"580","Rutgers University-New Brunswick",2018,41348,14638,107257
"581","University of New Mexico-Main Campus",2018,10582,7448,81405
"582","New Mexico State University-Main Campus",2018,9635,6461,78213
"583","University at Buffalo",2018,31196,9828,95850
"584","Syracuse University",2018,34981,46755,106406
"585","United States Military Academy",2018,12294,NA,83935
"586","Appalachian State University",2018,16154,7302,74662
"587","Duke University",2018,35786,53500,147530
"588","East Carolina University",2018,17499,7143,77712
"589","University of North Carolina at Chapel Hill",2018,41939,9005,116320
"590","North Carolina State University at Raleigh",2018,30350,9058,99473
"591","Wake Forest University",2018,12937,51400,105028
"592","University of Akron Main Campus",2018,16088,10270,88435
"593","Bowling Green State University-Main Campus",2018,17034,11057,81929
"594","University of Cincinnati-Main Campus",2018,23296,11000,90870
"595","Kent State University at Kent",2018,16337,10012,82592
"596","Miami University-Oxford",2018,30126,14958,85809
"597","Ohio State University-Main Campus",2018,48077,10592,113177
"598","Ohio University-Main Campus",2018,23385,11896,82133
"599","University of Toledo",2018,10792,9244,80840
"600","Oklahoma State University-Main Campus",2018,14405,8738,81981
"601","University of Oklahoma-Norman Campus",2018,15811,11538,88487
"602","University of Tulsa",2018,8526,41509,95078
"603","Oregon State University",2018,14890,10797,89461
"604","University of Oregon",2018,24474,11571,93565
"605","Pennsylvania State University-Main Campus",2018,52742,18436,102250
"606","Temple University",2018,35501,16658,99347
"607","Clemson University",2018,28845,15116,92145
"608","University of South Carolina-Columbia",2018,30889,11862,97074
"609","Coastal Carolina University",2018,14057,11200,67672
"610","University of Memphis",2018,14141,9317,81021
"611","Middle Tennessee State University",2018,8055,8612,75707
"612","The University of Tennessee-Knoxville",2018,20457,12970,99960
"613","Vanderbilt University",2018,34313,47664,126890
"614","Baylor University",2018,37083,43790,89715
"615","University of Houston",2018,22461,9706,107942
"616","University of North Texas",2018,20006,10544,89463
"617","Rice University",2018,20923,45608,143865
"618","Southern Methodist University",2018,12603,52498,115457
"619","Texas State University",2018,24959,9985,71579
"620","Texas A & M University-College Station",2018,36000,11234,107694
"621","The University of Texas at Austin",2018,50575,10398,116462
"622","The University of Texas at El Paso",2018,10456,7851,81498
"623","Texas Christian University",2018,20156,44760,106055
"624","The University of Texas at San Antonio",2018,16918,7969,81558
"625","Texas Tech University",2018,24452,8860,83840
"626","Brigham Young University",2018,11205,5460,98748
"627","Utah State University",2018,15099,7870,82662
"628","University of Utah",2018,23096,8884,97969
"629","Liberty University",2018,29010,21310,57854
"630","Old Dominion University",2018,13335,10050,75417
"631","Virginia Polytechnic Institute and State University",2018,31936,13230,104069
"632","University of Virginia-Main Campus",2018,37182,16853,128621
"633","Washington State University",2018,22773,11391,88319
"634","University of Washington-Seattle Campus",2018,45907,10974,118257
"635","Marshall University",2018,4987,7798,68625
"636","West Virginia University",2018,18639,8376,90137
"637","University of Wisconsin-Madison",2018,42727,10533,112160
"638","University of Wyoming",2018,5293,5217,88861
"639","Stanford University",2018,47452,49617,182338
"640","Purdue University-Main Campus",2018,53722,9992,111956
"641","University of Alabama at Birmingham",2019,8298,8568,99028
"642","The University of Alabama",2019,38505,10780,93219
"643","Auburn University",2019,20205,11276,96112
"644","University of South Alabama",2019,6350,8396,65600
"645","Troy University",2019,6146,8908,59930
"646","Arizona State University Campus Immersion",2019,34188,10822,105685
"647","University of Arizona",2019,40854,12467,100977
"648","University of Arkansas",2019,17913,9130,90348
"649","Arkansas State University",2019,4689,8607,65152
"650","California State University-Fresno",2019,18123,6587,86928
"651","University of California-Berkeley",2019,87847,14184,160916
"652","University of California-Los Angeles",2019,111321,13226,171353
"653","San Diego State University",2019,70048,7488,99662
"654","San Jose State University",2019,35307,7796,96027
"655","University of Southern California",2019,66198,56225,136476
"656","University of Colorado Boulder",2019,40677,12532,107043
"657","Colorado State University-Fort Collins",2019,28319,11982,94571
"658","United States Air Force Academy",2019,10354,NA,84192
"659","University of Connecticut",2019,35096,15730,114275
"660","University of Central Florida",2019,45118,6368,95955
"661","Florida Atlantic University",2019,18854,4831,87048
"662","Florida International University",2019,18492,6556,96793
"663","Florida State University",2019,58936,5656,100538
"664","University of Florida",2019,40139,6381,107744
"665","University of Miami",2019,38920,50226,115799
"666","University of South Florida",2019,36986,6410,93560
"667","Georgia Institute of Technology-Main Campus",2019,36856,12424,116744
"668","Georgia Southern University",2019,13346,6356,64135
"669","University of Georgia",2019,29285,11830,104768
"670","University of Hawaii at Manoa",2019,16235,11970,111058
"671","Boise State University",2019,15030,7694,74674
"672","University of Illinois Urbana-Champaign",2019,43509,15094,115466
"673","Northern Illinois University",2019,15693,14617,77288
"674","Northwestern University",2019,40585,54567,157343
"675","Ball State University",2019,23305,9896,68223
"676","Indiana University-Bloomington",2019,42902,10681,96084
"677","University of Notre Dame",2019,22200,53391,133603
"678","Iowa State University",2019,18246,8988,102150
"679","University of Iowa",2019,25928,9267,101179
"680","University of Kansas",2019,15093,11148,94809
"681","Kansas State University",2019,8277,10383,83579
"682","Pittsburg State University",2019,1822,7298,67162
"683","University of Kentucky",2019,18759,12245,98268
"684","University of Louisville",2019,14760,11656,78815
"685","Western Kentucky University",2019,8245,10512,69234
"686","Louisiana State University and Agricultural & Mechanical College",2019,24501,11950,91803
"687","Louisiana Tech University",2019,7552,9645,70683
"688","University of Louisiana at Monroe",2019,3953,8734,66435
"689","University of Louisiana at Lafayette",2019,9138,9912,74746
"690","Tulane University of Louisiana",2019,42185,54820,110332
"691","University of Maryland-College Park",2019,33012,10595,121911
"692","United States Naval Academy",2019,16332,NA,110540
"693","Boston College",2019,35552,55464,140395
"694","University of Massachusetts-Amherst",2019,42157,15887,115397
"695","Central Michigan University",2019,16411,12960,86322
"696","Eastern Michigan University",2019,14323,12508,88399
"697","University of Michigan-Ann Arbor",2019,64972,15262,110617
"698","Michigan State University",2019,44322,14460,108234
"699","Western Michigan University",2019,17698,12483,91918
"700","University of Minnesota-Duluth",2019,8704,13366,77460
"701","University of Mississippi",2019,16253,8660,83000
"702","Mississippi State University",2019,18340,8650,79346
"703","University of Southern Mississippi",2019,9217,8624,70178
"704","University of Missouri-Columbia",2019,20015,9972,88260
"705","University of Nebraska-Lincoln",2019,16829,9242,100104
"706","University of Nevada-Las Vegas",2019,12720,7985,97416
"707","University of Nevada-Reno",2019,9064,7764,94134
"708","Rutgers University-New Brunswick",2019,41286,14974,111728
"709","University of New Mexico-Main Campus",2019,9328,7633,84375
"710","New Mexico State University-Main Campus",2019,11903,6686,80570
"711","University at Buffalo",2019,29900,10099,96732
"712","Syracuse University",2019,35299,51853,108582
"713","United States Military Academy",2019,11675,NA,89159
"714","Appalachian State University",2019,16664,7364,74881
"715","Duke University",2019,41947,55695,151848
"716","East Carolina University",2019,19235,7188,77643
"717","University of North Carolina at Chapel Hill",2019,42465,8987,115876
"718","North Carolina State University at Raleigh",2019,31130,9101,100211
"719","Wake Forest University",2019,12559,53322,107868
"720","University of Akron Main Campus",2019,14553,11463,91819
"721","Bowling Green State University-Main Campus",2019,17179,11105,83567
"722","University of Cincinnati-Main Campus",2019,23609,11000,92874
"723","Kent State University at Kent",2019,16308,10756,85224
"724","Miami University-Oxford",2019,27247,15380,89131
"725","Ohio State University-Main Campus",2019,47703,10726,115770
"726","Ohio University-Main Campus",2019,24179,12192,82991
"727","University of Toledo",2019,10085,9797,81798
"728","Oklahoma State University-Main Campus",2019,15277,9019,84625
"729","University of Oklahoma-Norman Campus",2019,15673,11538,92637
"730","University of Tulsa",2019,9793,41509,91894
"731","Oregon State University",2019,15786,11166,91232
"732","University of Oregon",2019,27209,11898,94590
"733","Pennsylvania State University-Main Campus",2019,95970,18454,97442
"734","Temple University",2019,35599,16970,100831
"735","Clemson University",2019,29070,15374,95885
"736","University of South Carolina-Columbia",2019,31268,12616,96362
"737","Coastal Carolina University",2019,15061,11716,69479
"738","University of Memphis",2019,14778,9317,79106
"739","Middle Tennessee State University",2019,8973,8858,76608
"740","The University of Tennessee-Knoxville",2019,21764,13006,101758
"741","Vanderbilt University",2019,37310,49816,131982
"742","Baylor University",2019,34582,45542,91966
"743","University of Houston",2019,25393,8913,111144
"744","University of North Texas",2019,21724,10852,90989
"745","Rice University",2019,27087,47350,149211
"746","Southern Methodist University",2019,13959,54492,118011
"747","Texas State University",2019,23583,10280,75342
"748","Texas A & M University-College Station",2019,42476,11870,110481
"749","The University of Texas at Austin",2019,53525,10610,123548
"750","The University of Texas at El Paso",2019,10972,8198,83326
"751","Texas Christian University",2019,19028,46950,109175
"752","The University of Texas at San Antonio",2019,17122,8049,85388
"753","Texas Tech University",2019,25384,9080,87447
"754","Brigham Young University",2019,10500,5620,102344
"755","Utah State University",2019,15276,8138,84635
"756","University of Utah",2019,24404,9222,98862
"757","Liberty University",2019,42312,22584,53635
"758","Old Dominion University",2019,13761,10560,78639
"759","Virginia Polytechnic Institute and State University",2019,31974,13620,104398
"760","University of Virginia-Main Campus",2019,40839,17653,132551
"761","Washington State University",2019,21434,11584,89844
"762","University of Washington-Seattle Campus",2019,45579,11207,120741
"763","Marshall University",2019,6451,8128,71166
"764","West Virginia University",2019,18202,8856,94361
"765","University of Wisconsin-Madison",2019,43896,10555,115358
"766","University of Wyoming",2019,5348,5400,89100
"767","Stanford University",2019,47498,51354,187587
"768","Purdue University-Main Campus",2019,55311,9992,114183
"769","University of Alabama at Birmingham",2020,10391,8568,101860
"770","The University of Alabama",2020,39560,10780,93633
"771","Auburn University",2020,17946,11492,96016
"772","University of South Alabama",2020,8084,8396,68001
"773","Troy University",2020,7018,8908,61020
"774","Arizona State University Campus Immersion",2020,53516,11338,101317
"775","University of Arizona",2020,43540,12711,92534
"776","University of Arkansas",2020,19777,9384,89642
"777","Arkansas State University",2020,5836,8900,65355
"778","California State University-Fresno",2020,15448,6589,85966
"779","University of California-Berkeley",2020,88062,14253,163401
"780","University of California-Los Angeles",2020,108870,13240,175092
"781","San Diego State University",2020,64784,7510,100411
"782","San Jose State University",2020,32375,7852,95514
"783","University of Southern California",2020,59712,58195,139069
"784","University of Colorado Boulder",2020,44203,12500,101556
"785","Colorado State University-Fort Collins",2020,28843,12058,94636
"786","United States Air Force Academy",2020,10747,NA,88699
"787","University of Connecticut",2020,34437,17226,119313
"788","University of Central Florida",2020,47957,6368,97350
"789","Florida Atlantic University",2020,25300,4879,89846
"790","Florida International University",2020,16904,6565,98510
"791","Florida State University",2020,63691,5656,102323
"792","University of Florida",2020,48193,6381,108407
"793","University of Miami",2020,40131,51930,116205
"794","University of South Florida",2020,38696,6410,95160
"795","Georgia Institute of Technology-Main Campus",2020,40852,12682,123824
"796","Georgia Southern University",2020,17250,6463,72365
"797","University of Georgia",2020,28206,12080,105035
"798","University of Hawaii at Manoa",2020,13240,12186,113002
"799","Boise State University",2020,15511,8068,75079
"800","University of Illinois Urbana-Champaign",2020,43473,15122,115406
"801","Northern Illinois University",2020,16690,12390,82589
"802","Northwestern University",2020,39263,56691,157615
"803","Ball State University",2020,20167,10020,70208
"804","Indiana University-Bloomington",2020,44129,10947,96684
"805","University of Notre Dame",2020,21253,55553,133534
"806","Iowa State University",2020,20223,9320,102437
"807","University of Iowa",2020,24132,9606,105462
"808","University of Kansas",2020,15042,11166,94249
"809","Kansas State University",2020,9208,10440,86475
"810","Pittsburg State University",2020,2007,7338,67056
"811","University of Kentucky",2020,19648,12360,98369
"812","University of Louisville",2020,17265,11928,72795
"813","Western Kentucky University",2020,8578,10802,70053
"814","Louisiana State University and Agricultural & Mechanical College",2020,28960,11962,90977
"815","Louisiana Tech University",2020,7087,10185,70834
"816","University of Louisiana at Monroe",2020,4837,8974,64982
"817","University of Louisiana at Lafayette",2020,9870,10382,74110
"818","Tulane University of Louisiana",2020,43892,56800,109141
"819","University of Maryland-College Park",2020,32147,10779,122863
"820","United States Naval Academy",2020,15699,NA,112894
"821","Boston College",2020,29382,57910,140471
"822","University of Massachusetts-Amherst",2020,40315,16389,114764
"823","Central Michigan University",2020,19396,12960,89650
"824","Eastern Michigan University",2020,15957,13233,88123
"825","University of Michigan-Ann Arbor",2020,65021,15558,110947
"826","Michigan State University",2020,45426,14460,106315
"827","Western Michigan University",2020,16582,13017,89931
"828","University of Minnesota-Duluth",2020,9190,13680,77534
"829","University of Mississippi",2020,16383,8828,83685
"830","Mississippi State University",2020,16127,8910,79063
"831","University of Southern Mississippi",2020,9683,8896,70952
"832","University of Missouri-Columbia",2020,20641,10477,93514
"833","University of Nebraska-Lincoln",2020,17495,9522,100170
"834","University of Nevada-Las Vegas",2020,13256,8291,98177
"835","University of Nevada-Reno",2020,9644,8034,93175
"836","Rutgers University-New Brunswick",2020,41263,15407,111638
"837","University of New Mexico-Main Campus",2020,10436,7875,85364
"838","New Mexico State University-Main Campus",2020,13715,7087,80569
"839","University at Buffalo",2020,30247,10524,96100
"840","Syracuse University",2020,32005,53849,109163
"841","United States Military Academy",2020,15856,NA,91081
"842","Appalachian State University",2020,18178,7409,74745
"843","Duke University",2020,39639,58123,151406
"844","East Carolina University",2020,20313,7238,77091
"845","University of North Carolina at Chapel Hill",2020,41773,8980,115921
"846","North Carolina State University at Raleigh",2020,31487,9101,100512
"847","Wake Forest University",2020,11959,55440,107481
"848","University of Akron Main Campus",2020,14553,11636,92515
"849","Bowling Green State University-Main Campus",2020,17341,11316,87082
"850","University of Cincinnati-Main Campus",2020,23960,11660,94421
"851","Kent State University at Kent",2020,18085,11131,85424
"852","Miami University-Oxford",2020,26844,15911,94867
"853","Ohio State University-Main Campus",2020,49087,11084,116105
"854","Ohio University-Main Campus",2020,22518,12612,79560
"855","University of Toledo",2020,9673,10140,84624
"856","Oklahoma State University-Main Campus",2020,17164,9019,85079
"857","University of Oklahoma-Norman Campus",2020,15451,11763,94141
"858","University of Tulsa",2020,5815,42723,95744
"859","Oregon State University",2020,17374,11709,94242
"860","University of Oregon",2020,28525,12720,105020
"861","Pennsylvania State University-Main Campus",2020,NA,NA,NA
"862","Temple University",2020,33805,16970,104732
"863","Clemson University",2020,28600,15558,93853
"864","University of South Carolina-Columbia",2020,34957,12688,98857
"865","Coastal Carolina University",2020,14152,11640,69920
"866","University of Memphis",2020,13298,9912,79210
"867","Middle Tennessee State University",2020,9096,9070,78645
"868","The University of Tennessee-Knoxville",2020,25423,13264,100967
"869","Vanderbilt University",2020,36646,52070,133016
"870","Baylor University",2020,33680,47364,94822
"871","University of Houston",2020,28645,9221,112436
"872","University of North Texas",2020,21514,11044,93522
"873","Rice University",2020,23455,49112,147399
"874","Southern Methodist University",2020,14010,56560,120332
"875","Texas State University",2020,25461,10581,75938
"876","Texas A & M University-College Station",2020,42872,12153,110651
"877","The University of Texas at Austin",2020,57241,10824,123703
"878","The University of Texas at El Paso",2020,13121,9161,83119
"879","Texas Christian University",2020,21145,49250,110247
"880","The University of Texas at San Antonio",2020,21597,8262,87493
"881","Texas Tech University",2020,29131,9300,94015
"882","Brigham Young University",2020,11292,5790,105619
"883","Utah State University",2020,15949,8402,84251
"884","University of Utah",2020,18419,8615,98901
"885","Liberty University",2020,61649,22747,53328
"886","Old Dominion University",2020,13651,10680,79349
"887","Virginia Polytechnic Institute and State University",2020,30771,13691,104033
"888","University of Virginia-Main Campus",2020,40879,17798,134679
"889","Washington State University",2020,21198,11841,91859
"890","University of Washington-Seattle Campus",2020,43778,11465,121459
"891","Marshall University",2020,6718,8412,71274
"892","West Virginia University",2020,17326,8976,95994
"893","University of Wisconsin-Madison",2020,45915,10725,121408
"894","University of Wyoming",2020,4919,5581,88879
"895","Stanford University",2020,45227,53529,188567
"896","Purdue University-Main Campus",2020,57510,9992,114439
"897","University of Alabama at Birmingham",2021,11906,8568,104003
"898","The University of Alabama",2021,42421,11620,94993
"899","Auburn University",2021,27619,11796,99349
"900","University of South Alabama",2021,11817,8396,68004
"901","Troy University",2021,6766,8908,64667
"902","Arizona State University Campus Immersion",2021,61603,11338,105075
"903","University of Arizona",2021,48065,12736,102791
"904","University of Arkansas",2021,21462,9384,90406
"905","Arkansas State University",2021,5835,7315,66895
"906","California State University-Fresno",2021,15231,6643,85958
"907","University of California-Berkeley",2021,112843,14312,170122
"908","University of California-Los Angeles",2021,139489,13249,177632
"909","San Diego State University",2021,67660,7720,98290
"910","San Jose State University",2021,30441,7852,94843
"911","University of Southern California",2021,71031,60275,142538
"912","University of Colorado Boulder",2021,54756,12466,108398
"913","Colorado State University-Fort Collins",2021,31586,12260,95539
"914","United States Air Force Academy",2021,11687,NA,94508
"915","University of Connecticut",2021,36753,17834,117307
"916","University of Central Florida",2021,48929,6368,98575
"917","Florida Atlantic University",2021,25148,4879,88807
"918","Florida International University",2021,16406,6565,92273
"919","Florida State University",2021,65235,5656,103515
"920","University of Florida",2021,51207,6381,112102
"921","University of Miami",2021,42244,53682,120379
"922","University of South Florida",2021,50352,6410,95758
"923","Georgia Institute of Technology-Main Campus",2021,44048,12852,127928
"924","Georgia Southern University",2021,18541,6485,73005
"925","University of Georgia",2021,39229,12080,106774
"926","University of Hawaii at Manoa",2021,19607,12186,115960
"927","Boise State University",2021,15648,8068,77880
"928","University of Illinois Urbana-Champaign",2021,47593,15150,117842
"929","Northern Illinois University",2021,22602,12352,85852
"930","Northwestern University",2021,47636,58701,163111
"931","Ball State University",2021,22947,10144,70603
"932","Indiana University-Bloomington",2021,46498,11221,98488
"933","University of Notre Dame",2021,23642,57699,136509
"934","Iowa State University",2021,20357,9316,106378
"935","University of Iowa",2021,22434,9606,106372
"936","University of Kansas",2021,15275,11166,95353
"937","Kansas State University",2021,9822,10466,87511
"938","Pittsburg State University",2021,2216,7504,66533
"939","University of Kentucky",2021,21695,12484,98993
"940","University of Louisville",2021,15455,12162,73522
"941","Western Kentucky University",2021,7255,10802,68689
"942","Louisiana State University and Agricultural & Mechanical College",2021,36561,11962,92454
"943","Louisiana Tech University",2021,7724,10065,73696
"944","University of Louisiana at Monroe",2021,4945,9070,66455
"945","University of Louisiana at Lafayette",2021,10409,10358,75489
"946","Tulane University of Louisiana",2021,45525,58852,110149
"947","University of Maryland-College Park",2021,50183,10779,125230
"948","United States Naval Academy",2021,16265,NA,115165
"949","Boston College",2021,39846,60202,143185
"950","University of Massachusetts-Amherst",2021,42540,16439,115252
"951","Central Michigan University",2021,18517,12960,90760
"952","Eastern Michigan University",2021,17506,13700,87833
"953","University of Michigan-Ann Arbor",2021,79743,15948,113587
"954","Michigan State University",2021,50630,14460,108281
"955","Western Michigan University",2021,18853,13017,92796
"956","University of Minnesota-Duluth",2021,9610,13576,75697
"957","University of Mississippi",2021,19531,8828,85142
"958","Mississippi State University",2021,17707,8910,82612
"959","University of Southern Mississippi",2021,9314,8896,72421
"960","University of Missouri-Columbia",2021,19966,10723,96296
"961","University of Nebraska-Lincoln",2021,17775,9690,104448
"962","University of Nevada-Las Vegas",2021,13025,8685,97216
"963","University of Nevada-Reno",2021,9421,8366,93304
"964","Rutgers University-New Brunswick",2021,43161,15003,115312
"965","University of New Mexico-Main Campus",2021,11346,8161,87370
"966","New Mexico State University-Main Campus",2021,12535,7301,81714
"967","University at Buffalo",2021,30750,10526,99300
"968","Syracuse University",2021,39682,55926,110720
"969","United States Military Academy",2021,13955,NA,94727
"970","Appalachian State University",2021,21120,7410,72629
"971","Duke University",2021,49703,57934,154288
"972","East Carolina University",2021,21898,7239,77368
"973","University of North Carolina at Chapel Hill",2021,50729,8980,114942
"974","North Carolina State University at Raleigh",2021,32998,9101,100145
"975","Wake Forest University",2021,15156,57760,108398
"976","University of Akron Main Campus",2021,11332,11881,90554
"977","Bowling Green State University-Main Campus",2021,18295,11573,88228
"978","University of Cincinnati-Main Campus",2021,25775,12138,96849
"979","Kent State University at Kent",2021,19881,11009,86778
"980","Miami University-Oxford",2021,29990,16223,94134
"981","Ohio State University-Main Campus",2021,58180,11518,119968
"982","Ohio University-Main Campus",2021,21733,12612,84286
"983","University of Toledo",2021,9893,11082,88763
"984","Oklahoma State University-Main Campus",2021,16934,9019,85479
"985","University of Oklahoma-Norman Campus",2021,17318,11688,93350
"986","University of Tulsa",2021,5958,43985,99652
"987","Oregon State University",2021,23188,11858,96469
"988","University of Oregon",2021,31558,13857,103839
"989","Pennsylvania State University-Main Campus",2021,NA,NA,NA
"990","Temple University",2021,37571,16970,106835
"991","Clemson University",2021,47007,15558,96424
"992","University of South Carolina-Columbia",2021,42045,12688,102889
"993","Coastal Carolina University",2021,15481,11640,73328
"994","University of Memphis",2021,14916,9912,80811
"995","Middle Tennessee State University",2021,11244,9070,79506
"996","The University of Tennessee-Knoxville",2021,29909,13264,105104
"997","Vanderbilt University",2021,47152,54158,134547
"998","Baylor University",2021,36588,49246,96056
"999","University of Houston",2021,29721,9457,113727
"1000","University of North Texas",2021,24858,11090,95498
"1001","Rice University",2021,29544,51107,150288
"1002","Southern Methodist University",2021,15685,58540,121961
"1003","Texas State University",2021,31073,10855,77450
"1004","Texas A & M University-College Station",2021,43763,12783,116585
"1005","The University of Texas at Austin",2021,66077,11448,127498
"1006","The University of Texas at El Paso",2021,10153,9450,82728
"1007","Texas Christian University",2021,19782,51660,114593
"1008","The University of Texas at San Antonio",2021,21726,8566,88732
"1009","Texas Tech University",2021,33756,9530,96899
"1010","Brigham Young University",2021,11608,5970,108083
"1011","Utah State University",2021,15567,8764,86658
"1012","University of Utah",2021,18302,8615,102141
"1013","Liberty University",2021,28448,21587,46807
"1014","Old Dominion University",2021,13586,10800,83593
"1015","Virginia Polytechnic Institute and State University",2021,42054,13749,108802
"1016","University of Virginia-Main Campus",2021,47971,18960,139562
"1017","Washington State University",2021,18197,12170,92732
"1018","University of Washington-Seattle Campus",2021,48840,11745,123439
"1019","Marshall University",2021,5602,8512,72914
"1020","West Virginia University",2021,17074,8976,97227
"1021","University of Wisconsin-Madison",2021,53781,10742,123803
"1022","University of Wyoming",2021,5645,5791,88677
"1023","Stanford University",2021,55471,55473,191816
"1024","Purdue University-Main Campus",2021,59436,9992,116528
"1025","University of Alabama at Birmingham",2022,9947,8568,106434
"1026","The University of Alabama",2022,54072,11620,97394
"1027","Auburn University",2022,45693,11826,104085
"1028","University of South Alabama",2022,12550,8756,70535
"1029","Troy University",2022,7035,9312,64520
"1030","Arizona State University Campus Immersion",2022,68789,11348,107320
"1031","University of Arizona",2022,52091,12736,102736
"1032","University of Arkansas",2022,26219,9574,92078
"1033","Arkansas State University",2022,6045,7130,67737
"1034","California State University-Fresno",2022,18551,6653,92570
"1035","University of California-Berkeley",2022,128209,14226,175852
"1036","University of California-Los Angeles",2022,149801,13258,188356
"1037","San Diego State University",2022,77250,8136,106213
"1038","San Jose State University",2022,34002,7852,103163
"1039","University of Southern California",2022,69062,61503,150249
"1040","University of Colorado Boulder",2022,53781,12496,113287
"1041","Colorado State University-Fort Collins",2022,33122,12260,101840
"1042","United States Air Force Academy",2022,8353,NA,101629
"1043","University of Connecticut",2022,40894,18524,123231
"1044","University of Central Florida",2022,54977,6368,100166
"1045","Florida Atlantic University",2022,24268,4879,92389
"1046","Florida International University",2022,17343,6565,95411
"1047","Florida State University",2022,78088,5656,110317
"1048","University of Florida",2022,64473,6381,114823
"1049","University of Miami",2022,49169,54760,126987
"1050","University of South Florida",2022,65568,6410,98381
"1051","Georgia Institute of Technology-Main Campus",2022,50610,12852,138078
"1052","Georgia Southern University",2022,14680,6485,80029
"1053","University of Georgia",2022,39320,12080,110755
"1054","University of Hawaii at Manoa",2022,18974,12186,120613
"1055","Boise State University",2022,16795,8060,80811
"1056","University of Illinois Urbana-Champaign",2022,63257,15442,122060
"1057","Northern Illinois University",2022,25961,12478,86606
"1058","Northwestern University",2022,51261,60768,168344
"1059","Ball State University",2022,22859,10290,71453
"1060","Indiana University-Bloomington",2022,50080,11333,101858
"1061","University of Notre Dame",2022,26509,58843,144593
"1062","Iowa State University",2022,21919,9634,111012
"1063","University of Iowa",2022,25729,9942,114064
"1064","University of Kansas",2022,16204,11166,100439
"1065","Kansas State University",2022,9706,10420,91396
"1066","Pittsburg State University",2022,2642,7932,69645
"1067","University of Kentucky",2022,22109,12610,104156
"1068","University of Louisville",2022,15462,12370,80842
"1069","Western Kentucky University",2022,7505,10992,70087
"1070","Louisiana State University and Agricultural & Mechanical College",2022,38853,11958,96660
"1071","Louisiana Tech University",2022,7595,10065,77327
"1072","University of Louisiana at Monroe",2022,4303,9058,69002
"1073","University of Louisiana at Lafayette",2022,11752,10346,78140
"1074","Tulane University of Louisiana",2022,31615,60814,111737
"1075","University of Maryland-College Park",2022,56761,10955,135474
"1076","United States Naval Academy",2022,12927,NA,116141
"1077","Boston College",2022,40494,61706,149402
"1078","University of Massachusetts-Amherst",2022,45451,16439,116437
"1079","Central Michigan University",2022,19888,13200,92172
"1080","Eastern Michigan University",2022,19919,14060,91896
"1081","University of Michigan-Ann Arbor",2022,84289,16178,119112
"1082","Michigan State University",2022,53341,14750,116379
"1083","Western Michigan University",2022,20501,13434,93833
"1084","University of Minnesota-Duluth",2022,9512,13850,78943
"1085","University of Mississippi",2022,22311,9044,87066
"1086","Mississippi State University",2022,18830,9220,85327
"1087","University of Southern Mississippi",2022,9051,9204,74841
"1088","University of Missouri-Columbia",2022,20303,11475,99523
"1089","University of Nebraska-Lincoln",2022,19102,9872,108674
"1090","University of Nevada-Las Vegas",2022,13275,8737,97304
"1091","University of Nevada-Reno",2022,9398,8588,95543
"1092","Rutgers University-New Brunswick",2022,41654,15804,119251
"1093","University of New Mexico-Main Campus",2022,12639,7905,94123
"1094","New Mexico State University-Main Campus",2022,15860,7301,86820
"1095","University at Buffalo",2022,30939,10782,100672
"1096","Syracuse University",2022,41489,57591,113934
"1097","United States Military Academy",2022,12559,NA,100578
"1098","Appalachian State University",2022,22255,7410,80059
"1099","Duke University",2022,50016,60244,162699
"1100","East Carolina University",2022,21383,7297,81207
"1101","University of North Carolina at Chapel Hill",2022,56341,9028,125543
"1102","North Carolina State University at Raleigh",2022,35568,9131,108689
"1103","Wake Forest University",2022,16857,59770,109593
"1104","University of Akron Main Campus",2022,12282,11880,92979
"1105","Bowling Green State University-Main Campus",2022,17447,13061,90074
"1106","University of Cincinnati-Main Campus",2022,29025,12598,99797
"1107","Kent State University at Kent",2022,20369,11934,89970
"1108","Miami University-Oxford",2022,30367,16704,97839
"1109","Ohio State University-Main Campus",2022,65189,11936,122952
"1110","Ohio University-Main Campus",2022,24978,12840,86095
"1111","University of Toledo",2022,12575,11490,90235
"1112","Oklahoma State University-Main Campus",2022,19117,9244,89952
"1113","University of Oklahoma-Norman Campus",2022,21548,12012,96108
"1114","University of Tulsa",2022,12042,45673,94778
"1115","Oregon State University",2022,25651,12188,101213
"1116","University of Oregon",2022,37154,14421,109504
"1117","Pennsylvania State University-Main Campus",2022,85784,18898,81577
